12907,PACHAAR (Pach Har),Pulwama,Pulwama,JAMMU AND KASHMIR,0101000020E6100000FD3E2D509CB55240506738AFFBE94040
12908,ETTAYAPURAM,Ettayapuram,Sindhalakarai,TAMIL NADU,0101000020E6100000803D0DB579815340339F18FE785C2240
12909,TIRUTTANI,Tiruttani,Tiruttani,TAMIL NADU,0101000020E610000094D519845EE4534051A4FB3905592A40
12910,OSIAN MATHANIA,Jodhpur,Osian,RAJASTHAN,0101000020E6100000C528BE904437524013EE9579ABBA3A40
12911,KOVILPATTI,Kovilpatti,Kovilpatti,TAMIL NADU,0101000020E61000004182E2C7987753406002B7EEE6592240
12912,SATTUR,Virudhunagar ,Terku Chinnagollapatti,TAMIL NADU,0101000020E6100000EDB94C4D827A5340B2F50CE198B92240
12913,VALLAM,Thanjavur,Thanjavur,TAMIL NADU,0101000020E610000091C481461FC45340737511F0B56D2540
12914,ILUPPUR,Pudukkottai,Pallakkudi,TAMIL NADU,0101000020E6100000092241A756A55340064C3B9050062540
12915,KEONJHAR,Kendujhar ,Champua,ODISHA,0101000020E6100000B9BC83E94561554031CB434BC3A53540
12916,TIRUCHIRAPALLI,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,TAMIL NADU,0101000020E6100000535DC0CB8CA153405908BCDDDCA12540
12917,TIJARA,Tijara,Tijara,RAJASTHAN,0101000020E610000071106388D2335340368EFDD1DCEF3B40
12918,SOJAT CITY,Pali ,Sojat,RAJASTHAN,0101000020E610000082EC50A8826852402E484442A5ED3940
12919,KATTUPUTHUR,Thottiyam,V.S.Nagar,TAMIL NADU,0101000020E6100000E8BDB53CA48D53408E250747240D2640
12920,LALGANJ,Pratapgarh,Lalganj,UTTAR PRADESH,0101000020E6100000F8DC8D2E446A5440F3EDB83C31FE3940
12921,SIKRI,Sikhri Tehsil,Sikri,RAJASTHAN,0101000020E6100000C0098508B84453400B163DA6A4933B40
12922,KRISHNAGIRI,Krishnagiri ,Denkanikottai,TAMIL NADU,0101000020E6100000F6EBB1A199805340A5CF5845C9072940
12923,TSEMENYU,Tseminyu,Tseminyu Circle​,NAGALAND,0101000020E61000005C5430CF6F8C5740B977C36CB8EC3940
12924,DATAGANJ,Badaun,Dataganj ,UTTAR PRADESH,0101000020E61000001E2C4AA6D6D553409CD77D6C37EB3B40
12925,CHOHTAN,Chohtan Tehsil,Chohtan,RAJASTHAN,0101000020E610000087BE60DC32C3514053F5E10FF57B3940
12926,PAHARI,Bharatpur,Pahari,RAJASTHAN,0101000020E6100000123DDF0500445340DF03CF1841B63B40
12927,KAVINDAPADI,Erode ,Bhavani,TAMIL NADU,0101000020E6100000CF75D0DB0E61534031BB82C87DDA2640
12928,GARJEE,Matarbari,Udaipur,TRIPURA,0101000020E6100000D464C6DBCADF56405DE0F258336E3740
12929,LONGLENG,Yongnyah,Niam,NAGALAND,0101000020E6100000A2FF2FE8CEB25740955C6A29C57D3A40
12930,KILVELUR,Nagapattinam ,Killukudi,TAMIL NADU,0101000020E61000009C864D092DEE5340B02CE285BE892540
12931,BHUSAWAR,Bharatpur,Weir,RAJASTHAN,0101000020E6100000DC831090AF485340E31126D6F3033B40
12932,JAMPUIJALA,Jampuijala,Takarjala,TRIPURA,0101000020E610000024264D28E9DA56402F19220269B63740
12933,SAMRANIYA,Baran ,Shahbad ,RAJASTHAN,0101000020E61000001B690476904053409DA3E9471E253940
12934,BEMETARA,Bemetara,Saja,CHHATTISGARH,0101000020E6100000D5F985913D5C5440978A32C0AAAD3540
12935,DUSI,Tiruvannamalai,Cheyyar,TAMIL NADU,0101000020E6100000EA6FAE06CDEA53409D22D115B68C2940
12936,SUNGUVARCHATRAM,Kanchipuram,Sunguvarchatram,TAMIL NADU,0101000020E6100000CC64935742F85340B6F81400E3D92940
12937,DIBAI,Debai,Dibai,UTTAR PRADESH,0101000020E6100000D0622992AF9053405307793D98343C40
